"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.3","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.7","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","30.9","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.7","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","26.0","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.9","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.4","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.7","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.4","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.0","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","16.1","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.40","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.09","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.79","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.48","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.72","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.61","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.84","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.24","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.53","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","31.17","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","34.13","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","29.01","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.40","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.65","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.54","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.06","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.68","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.48","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","9.95","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.24","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.67","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.10","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.54","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.45","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.48","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.87","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.93","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.91","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.7","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","56.9","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","61.9","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","26.1","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","8.9","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.5","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.7","per 100 births",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","5.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","8.7","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","8.0","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.9","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","23.4","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","37.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","31.7","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.9","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","12.5","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","20.0","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","17.4","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","All races and origins","54.5","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Hispanic","65.9","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","50.9","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","51.6","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","12.5","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","20.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","17.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","56.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","81.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","64.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","46.7","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","91.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","114.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","80.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","95.6","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","103.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","74.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","98.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","55.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","60.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","48.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","52.7","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.2","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.6","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","31.0","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.7","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","25.9","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.7","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.5","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.6","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.3","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","15.8","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.39","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.06","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.82","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.47","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.72","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.58","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.87","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.24","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.39","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","30.98","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","33.98","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","28.88","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.54","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.80","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.64","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.21","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.68","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.48","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","9.95","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.23","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.68","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.16","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.57","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.43","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.50","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.83","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","15.00","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.94","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.9","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","57.1","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","62.1","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","26.3","per 100 births",
"2025 Q1","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
"2025 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","8.8","per 100 births",
"2025 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.4","per 100 births",
"2025 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.6","per 100 births",
"2024 Q4","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","5.3","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","8.9","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","8.3","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.9","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","23.9","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","38.2","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","32.5","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","16.2","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","12.7","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","20.4","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","17.8","per 1,000 population",
"2024 Q4","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.3","per 1,000 population",
"2024 Q4","Birth Rates","General Fertility Rates","15-44 years","All races and origins","54.6","per 1,000 population",
"2024 Q4","Birth Rates","General Fertility Rates","15-44 years","Hispanic","66.1","per 1,000 population",
"2024 Q4","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","51.4","per 1,000 population",
"2024 Q4","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","51.7","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","12.7","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","20.4","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","17.8","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.3","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","56.7","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","82.2","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","65.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","47.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","91.4","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","114.5","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","81.7","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.3","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","95.4","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","102.8","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","74.4","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","97.9","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","55.0","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","60.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","48.8","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","52.6","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.8","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.5","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.9","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2024 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.2","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.5","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","31.1","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.6","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","25.9","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.5","per 100 births",
"2024 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.5","per 100 births",
"2024 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.5","per 100 births",
"2024 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.2","per 100 births",
"2024 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2024 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","15.7","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.41","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.07","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.86","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.49","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.72","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.56","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.84","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.26","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.27","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","30.85","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","33.86","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","28.77","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.61","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.87","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.71","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.28","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.69","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.51","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","10.01","per 100 births",
"2024 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.23","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.71","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.21","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.57","per 100 births",
"2024 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.46","per 100 births",
"2024 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.52","per 100 births",
"2024 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.84","per 100 births",
"2024 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","15.01","per 100 births",
"2024 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.97","per 100 births",
"2024 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","40.1","per 100 births",
"2024 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","57.3","per 100 births",
"2024 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","62.4","per 100 births",
"2024 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","26.5","per 100 births",
"2024 Q4","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
